Country,Year,Tech Sector,Market Share (%), R&D Investment (in USD) ,Number of Patents Filed (Annual),Number of Tech Companies, Tech Exports (in USD) ,Number of Startups, Venture Capital Funding (in USD) ,Global Innovation Ranking,Internet Penetration (%),5G Network Coverage (%),University Research Collaborations,Top Tech Products Exported,Number of Tech Workers
Japan,2006,AI,13.66%," $85,092,328,002 ",452,68," $135,281,168,347.95 ",375," $35,045,374,514 ",7,76%,76%,46,Cloud Servers,654701
Japan,2021,Robotics,14.80%," $47,468,229,891 ",9386,1271," $62,365,666,058.18 ",92," $48,635,833,864 ",1,57%,87%,49,Semiconductors,778490
Japan,2004,Biotechnology,13.15%," $13,321,325,982 ",3646,602," $91,399,869,385.89 ",434," $19,449,998,552 ",6,62%,56%,118,Semiconductors,329120
China,2022,Biotechnology,16.05%," $83,708,312,258 ",3363,902," $111,335,873,253.94 ",80," $24,928,143,956 ",19,59%,39%,137,Cloud Servers,956488
China,2013,Software,16.40%," $82,748,240,749 ",3461,843," $184,501,062,269.60 ",106," $48,909,717,152 ",5,83%,81%,100,5G Equipment,263188
China,2023,Telecommunications,46.48%," $23,537,156,023 ",2406,72," $23,209,556,580.98 ",291," $3,282,283,039 ",8,78%,46%,69,Cloud Servers,450440
China,2017,Software,31.45%," $99,247,270,372 ",7553,1744," $5,079,542,269.62 ",315," $5,302,621,443 ",11,60%,44%,118,Robots,483884
China,2020,Software,17.17%," $52,783,371,000 ",7598,1873," $24,179,143,359.99 ",400," $27,863,654,283 ",13,79%,43%,149,AI Chips,604587
China,2019,Telecommunications,5.85%," $31,774,455,346 ",4600,1223," $114,010,334,880.63 ",243," $17,917,049,958 ",8,76%,16%,91,AI Chips,94643
Japan,2003,Semiconductor,8.25%," $34,565,912,588 ",3573,1526," $184,987,945,913.82 ",306," $33,658,297,839 ",5,97%,83%,104,AI Chips,953041
China,2001,Telecommunications,41.60%," $49,555,598,275 ",3869,1425," $181,502,816,607.44 ",396," $34,997,618,259 ",10,89%,26%,77,5G Equipment,459266
Japan,2003,Cloud Computing,10.68%," $15,826,457,949 ",5432,779," $58,739,219,848.71 ",287," $30,095,258,871 ",17,65%,25%,45,5G Equipment,502253
Japan,2000,Software,25.53%," $12,310,460,718 ",7171,493," $16,875,732,511.85 ",18," $21,619,985,751 ",8,72%,65%,151,AI Chips,105711
Japan,2013,Robotics,6.65%," $55,807,847,979 ",1191,1259," $31,877,442,012.43 ",366," $19,810,133,860 ",15,64%,11%,180,Cloud Servers,876449
Japan,2016,Cloud Computing,48.06%," $3,741,421,889 ",5339,144," $48,680,324,012.02 ",120," $13,624,149,000 ",4,92%,11%,124,5G Equipment,737641
China,2001,Semiconductor,30.01%," $20,374,995,331 ",7147,1404," $150,482,642,008.11 ",25," $29,689,213,035 ",8,77%,87%,136,Cloud Servers,866025
China,2006,AI,26.52%," $99,975,366,460 ",9537,844," $46,038,556,540.16 ",274," $2,411,072,627 ",4,79%,89%,182,5G Equipment,476817
China,2003,Biotechnology,44.43%," $92,029,352,489 ",4565,486," $25,042,983,018.43 ",336," $38,578,628,399 ",12,81%,74%,104,AI Chips,192863
Japan,2013,Semiconductor,33.18%," $81,386,663,472 ",2705,254," $26,824,102,532.95 ",425," $12,909,362,973 ",1,60%,22%,42,5G Equipment,366187
China,2017,AI,40.25%," $63,502,082,572 ",5272,261," $35,942,753,802.00 ",46," $9,866,562,116 ",13,55%,82%,149,AI Chips,979719
China,2019,AI,16.23%," $11,071,129,194 ",5508,719," $67,376,175,787.70 ",267," $46,357,100,212 ",10,64%,15%,86,Robots,422987
Japan,2016,AI,26.22%," $10,044,412,294 ",1744,1107," $27,847,995,674.70 ",282," $45,536,852,138 ",13,41%,43%,144,Robots,54084
Japan,2021,Cloud Computing,44.77%," $53,466,346,886 ",8660,1699," $193,367,941,142.67 ",371," $15,271,689,484 ",18,88%,16%,39,Semiconductors,273961
Japan,2014,Telecommunications,34.75%," $38,909,261,339 ",1249,620," $88,163,556,432.60 ",57," $12,262,173,936 ",8,87%,58%,136,5G Equipment,419813
China,2018,Telecommunications,49.06%," $1,056,575,374 ",5103,468," $196,303,243,185.74 ",375," $43,317,569,685 ",7,68%,20%,175,5G Equipment,423843
Japan,2022,Software,30.10%," $86,741,139,651 ",3598,1546," $104,123,882,748.01 ",271," $6,469,867,253 ",10,59%,48%,71,AI Chips,342155
China,2019,AI,28.45%," $59,964,936,753 ",5582,830," $64,509,341,722.54 ",206," $5,321,960,009 ",11,48%,49%,39,AI Chips,32651
Japan,2005,AI,13.37%," $33,665,606,849 ",1252,324," $14,678,727,157.65 ",272," $26,868,301,598 ",10,75%,43%,86,Cloud Servers,473737
China,2006,Biotechnology,5.59%," $84,571,183,332 ",2116,534," $57,185,225,930.20 ",51," $26,440,710,254 ",7,68%,79%,169,AI Chips,216689
China,2002,Software,20.54%," $80,715,623,914 ",5465,1435," $22,477,092,053.09 ",419," $3,295,962,715 ",14,82%,68%,7,Robots,7674
China,2023,Semiconductor,42.37%," $96,840,119,430 ",4814,661," $116,942,638,499.78 ",357," $47,285,384,792 ",6,57%,75%,154,Semiconductors,794751
Japan,2011,Cloud Computing,34.10%," $95,981,278,669 ",9091,1143," $71,276,082,274.77 ",257," $37,003,063,060 ",5,53%,50%,41,AI Chips,613101
China,2015,Telecommunications,35.11%," $70,842,984,014 ",2406,1289," $36,223,721,033.16 ",278," $24,079,652,858 ",2,46%,53%,153,5G Equipment,25710
China,2012,Robotics,40.23%," $49,047,656,392 ",740,1489," $21,689,885,606.61 ",397," $6,156,977,885 ",5,97%,57%,191,AI Chips,751399
China,2018,Telecommunications,47.34%," $63,266,061,699 ",7789,1829," $85,361,785,969.46 ",274," $2,929,489,389 ",7,59%,46%,76,Cloud Servers,529853
Japan,2000,Robotics,31.11%," $17,618,047,525 ",961,759," $50,528,242,221.46 ",19," $11,429,197,427 ",12,96%,58%,64,Semiconductors,519586
Japan,2021,Cloud Computing,43.98%," $54,313,746,829 ",761,1995," $53,797,545,316.22 ",173," $39,560,841,347 ",13,92%,36%,29,Cloud Servers,354409
China,2021,Robotics,43.99%," $72,709,415,951 ",8922,301," $19,513,057,721.17 ",498," $12,154,495,400 ",1,73%,40%,40,Semiconductors,225239
China,2018,Biotechnology,25.67%," $74,638,515,760 ",1077,928," $77,968,545,123.70 ",125," $48,543,538,961 ",5,66%,89%,27,Semiconductors,980830
China,2010,Biotechnology,31.36%," $50,598,516,945 ",1003,1222," $149,635,515,453.95 ",392," $39,170,223,249 ",14,51%,63%,63,Semiconductors,111281
Japan,2018,Telecommunications,48.05%," $40,053,176,372 ",8546,502," $21,709,006,316.90 ",102," $26,477,041,691 ",5,90%,19%,38,AI Chips,565499
China,2017,AI,32.26%," $86,318,981,018 ",3694,65," $171,877,559,467.94 ",489," $11,376,822,276 ",11,98%,47%,19,Cloud Servers,970939
China,2012,Biotechnology,11.84%," $57,991,762,638 ",5707,70," $159,202,063,714.07 ",255," $435,700,841 ",14,67%,74%,60,AI Chips,11630
Japan,2016,Software,15.77%," $72,784,936,185 ",8492,337," $21,037,047,625.53 ",400," $13,345,289,711 ",3,85%,60%,53,5G Equipment,506264
China,2000,AI,26.22%," $70,068,687,213 ",5709,376," $60,870,462,861.36 ",280," $22,125,244,167 ",10,98%,20%,62,5G Equipment,932413
Japan,2001,Telecommunications,41.02%," $10,463,300,938 ",7326,1952," $104,270,908,438.25 ",319," $27,065,294,707 ",6,66%,49%,45,Semiconductors,958161
Japan,2017,Telecommunications,13.01%," $30,006,996,257 ",6757,114," $160,009,348,830.31 ",71," $27,291,183,481 ",18,75%,65%,65,Semiconductors,835798
China,2018,Robotics,6.69%," $7,289,581,667 ",6774,1197," $133,429,964,771.84 ",487," $38,741,652,111 ",10,99%,81%,10,5G Equipment,76073
Japan,2004,Software,29.70%," $98,468,688,334 ",969,1291," $103,552,384,487.57 ",463," $24,656,314,365 ",17,58%,39%,121,Cloud Servers,739703
Japan,2000,AI,18.23%," $49,307,054,421 ",3871,314," $91,594,310,361.98 ",17," $6,445,311,225 ",12,78%,75%,91,5G Equipment,451291
Japan,2014,Semiconductor,36.47%," $46,086,497,175 ",3939,1461," $6,375,343,757.78 ",165," $48,015,078,896 ",16,53%,55%,13,AI Chips,994850
China,2000,Semiconductor,15.90%," $92,489,105,531 ",5225,1213," $15,080,109,027.45 ",109," $6,256,873,317 ",4,77%,28%,33,AI Chips,51354
Japan,2006,Semiconductor,11.43%," $35,703,002,203 ",2493,845," $107,114,362,873.17 ",232," $43,397,523,055 ",9,71%,69%,46,AI Chips,581867
China,2011,Telecommunications,42.50%," $76,693,942,564 ",7534,1445," $26,113,271,579.33 ",494," $34,981,196,651 ",16,44%,30%,194,Robots,973546
Japan,2010,Biotechnology,6.24%," $72,019,246,722 ",468,745," $12,194,928,494.70 ",91," $1,621,100,781 ",2,42%,38%,68,Cloud Servers,117412
Japan,2012,Semiconductor,16.30%," $80,173,316,736 ",3254,1914," $38,549,553,775.58 ",351," $14,194,068,267 ",13,44%,88%,98,5G Equipment,557972
Japan,2012,Telecommunications,10.58%," $16,197,841,500 ",3876,673," $70,200,339,255.93 ",274," $42,875,477,207 ",16,44%,18%,62,AI Chips,842079
China,2003,Cloud Computing,10.22%," $94,846,532,968 ",7331,406," $199,728,031,484.52 ",81," $30,116,067,558 ",5,81%,42%,34,AI Chips,651472
Japan,2021,Semiconductor,5.27%," $33,486,242,622 ",4122,748," $188,529,810,070.50 ",446," $16,162,581,474 ",7,81%,63%,168,Robots,98184
China,2020,AI,23.71%," $52,226,957,138 ",9541,224," $185,074,510,120.60 ",124," $5,845,688,830 ",8,79%,86%,164,AI Chips,902190
Japan,2004,Cloud Computing,39.69%," $95,131,409,756 ",447,737," $188,731,452,071.66 ",150," $3,538,421,758 ",17,49%,63%,2,5G Equipment,437506
Japan,2005,AI,37.81%," $25,669,452,952 ",8743,1704," $189,111,684,047.16 ",245," $24,718,054,433 ",7,96%,71%,165,5G Equipment,847567
Japan,2001,Biotechnology,25.02%," $4,057,787,858 ",9066,472," $158,560,186,990.81 ",249," $22,920,736,565 ",5,83%,40%,184,Robots,176417
Japan,2003,AI,32.50%," $52,897,969,718 ",6486,1110," $177,257,568,344.09 ",130," $632,715,902 ",14,53%,39%,23,Semiconductors,100126
China,2007,Robotics,11.57%," $75,817,965,505 ",8138,1908," $72,156,868,641.61 ",343," $46,202,254,817 ",5,44%,81%,5,Semiconductors,478756
Japan,2012,AI,49.85%," $91,491,731,468 ",1371,1538," $156,384,859,725.80 ",495," $28,680,715,437 ",6,96%,11%,144,Cloud Servers,43337
China,2022,AI,18.57%," $22,836,682,111 ",423,604," $155,716,108,267.75 ",291," $44,042,512,323 ",9,81%,13%,103,Cloud Servers,474511
China,2008,Biotechnology,42.05%," $40,117,752,249 ",9063,1396," $29,957,197,712.29 ",223," $7,640,477,317 ",17,94%,50%,14,Robots,280403
China,2000,Software,9.86%," $36,811,526,472 ",3824,316," $33,840,723,670.49 ",261," $22,695,317,615 ",12,85%,59%,54,AI Chips,316176
Japan,2006,AI,31.86%," $48,522,773,685 ",3601,1297," $173,636,542,049.83 ",104," $15,361,588,954 ",3,68%,48%,92,Semiconductors,636721
China,2013,Cloud Computing,27.86%," $77,974,140,860 ",8573,1626," $95,058,755,598.13 ",150," $5,408,942,872 ",5,90%,67%,103,5G Equipment,831750
Japan,2004,Cloud Computing,12.40%," $90,966,149,948 ",8080,1225," $174,750,036,363.11 ",452," $38,003,093,670 ",10,90%,67%,154,AI Chips,635092
Japan,2022,Semiconductor,23.22%," $48,253,128,385 ",7065,153," $51,117,935,880.64 ",300," $13,513,445,585 ",2,94%,27%,68,Semiconductors,823389
China,2023,Telecommunications,21.94%," $74,194,226,725 ",8710,434," $78,841,484,131.25 ",275," $32,916,104,625 ",3,59%,87%,41,AI Chips,512761
Japan,2017,Telecommunications,21.67%," $62,341,870,641 ",8991,925," $107,755,397,826.00 ",467," $44,643,133,975 ",17,62%,13%,162,5G Equipment,761796
Japan,2021,Cloud Computing,29.23%," $68,340,361,706 ",9143,1498," $177,387,738,626.90 ",466," $47,312,896,031 ",4,65%,40%,10,Robots,160360
China,2012,AI,34.88%," $56,654,880,455 ",276,1760," $108,041,090,929.97 ",349," $40,418,291,657 ",11,59%,57%,128,AI Chips,724397
Japan,2017,Biotechnology,28.62%," $49,164,116,893 ",1841,749," $10,811,827,718.93 ",27," $46,844,101,764 ",5,59%,39%,105,Robots,652096
Japan,2011,Robotics,27.98%," $67,047,139,463 ",7231,97," $138,152,311,526.09 ",488," $8,968,997,452 ",13,44%,10%,134,Cloud Servers,979680
Japan,2019,Software,20.71%," $3,345,624,810 ",217,524," $85,254,150,868.00 ",369," $40,241,966,927 ",7,73%,64%,125,5G Equipment,767006
Japan,2022,Software,38.94%," $81,303,413,060 ",9906,1299," $143,107,148,091.89 ",148," $13,980,703,630 ",6,61%,40%,127,Semiconductors,410918
Japan,2018,Software,10.25%," $52,441,171,612 ",7762,1055," $39,613,310,564.20 ",162," $45,845,620,051 ",8,43%,89%,154,Cloud Servers,899694
Japan,2007,Biotechnology,13.60%," $57,011,474,987 ",3574,262," $191,552,505,517.11 ",181," $35,456,237,148 ",3,52%,27%,83,Cloud Servers,339803
China,2009,Cloud Computing,21.91%," $7,053,129,242 ",9607,464," $47,566,538,705.00 ",178," $19,509,807,492 ",9,72%,64%,66,Semiconductors,790161
China,2020,Biotechnology,8.05%," $30,537,724,535 ",6532,1087," $194,858,151,338.47 ",16," $22,529,975,735 ",4,43%,82%,84,Semiconductors,37221
China,2014,Biotechnology,14.20%," $63,964,229,622 ",9533,1213," $177,878,805,821.06 ",415," $6,523,612,094 ",4,76%,49%,35,Robots,742341
Japan,2021,Robotics,13.61%," $38,777,080,673 ",5350,446," $7,551,282,407.12 ",158," $24,853,092,289 ",17,58%,89%,103,Robots,672962
China,2003,AI,6.14%," $19,570,014,782 ",8900,98," $59,851,805,414.21 ",397," $13,488,359,328 ",17,78%,21%,14,Semiconductors,221271
Japan,2018,Robotics,35.93%," $44,246,173,297 ",8083,467," $60,879,433,837.41 ",194," $29,540,430,738 ",16,67%,38%,55,Cloud Servers,117699
China,2003,Robotics,23.19%," $57,660,582,604 ",6398,1707," $41,926,497,540.95 ",490," $29,196,834,169 ",10,49%,57%,92,Semiconductors,696405
China,2016,Semiconductor,30.69%," $37,811,936,369 ",5703,339," $134,616,866,883.75 ",468," $11,564,862,529 ",2,63%,67%,65,AI Chips,319341
China,2023,AI,22.00%," $50,856,655,605 ",8077,1182," $196,693,824,637.82 ",249," $1,360,494,071 ",17,69%,76%,156,5G Equipment,350287
China,2003,Biotechnology,45.04%," $21,398,153,577 ",9759,396," $115,397,303,451.78 ",128," $47,611,305,306 ",15,78%,70%,32,Semiconductors,672223
China,2021,Software,17.87%," $92,315,103,804 ",5599,1849," $128,449,793,251.97 ",211," $42,081,310,377 ",8,72%,72%,1,Cloud Servers,207190
Japan,2000,Telecommunications,41.07%," $39,251,813,751 ",2058,885," $106,580,235,736.30 ",106," $6,026,097,719 ",8,98%,71%,188,5G Equipment,764513
Japan,2015,AI,21.21%," $22,670,361,057 ",2256,1463," $10,461,690,491.52 ",35," $3,910,424,615 ",17,83%,30%,42,AI Chips,925150
Japan,2004,Semiconductor,39.91%," $34,309,658,693 ",819,907," $164,232,715,961.20 ",248," $24,093,488,293 ",3,48%,38%,196,5G Equipment,29761
China,2005,Cloud Computing,24.48%," $54,339,776,217 ",1391,1280," $47,569,079,166.01 ",463," $39,744,087,898 ",5,53%,14%,81,AI Chips,977089
China,2020,Semiconductor,49.21%," $12,563,531,167 ",8991,1856," $93,213,880,013.62 ",454," $33,955,609,386 ",19,67%,76%,133,Cloud Servers,139208
Japan,2017,Cloud Computing,32.92%," $28,098,065,433 ",6132,1968," $47,036,296,615.60 ",135," $35,503,186,840 ",13,44%,40%,57,AI Chips,568653
Japan,2017,Biotechnology,18.98%," $84,752,328,418 ",7468,1006," $72,659,768,041.10 ",238," $20,351,688,224 ",13,54%,79%,104,Cloud Servers,121077
China,2009,Software,9.22%," $71,205,956,759 ",1913,1375," $141,430,202,549.12 ",397," $27,151,108,899 ",1,77%,39%,75,5G Equipment,65552
China,2017,Cloud Computing,13.98%," $75,549,484,688 ",5964,1705," $157,065,221,466.84 ",423," $7,456,635,546 ",6,56%,60%,131,Cloud Servers,258113
China,2022,Cloud Computing,45.83%," $86,293,622,578 ",9333,813," $60,017,875,226.50 ",378," $41,878,108,930 ",5,100%,86%,116,5G Equipment,163961
Japan,2016,Semiconductor,49.18%," $7,794,596,211 ",1616,187," $51,152,018,151.74 ",449," $44,104,789,357 ",18,73%,61%,153,AI Chips,622256
China,2002,Software,37.44%," $56,632,870,337 ",7458,1775," $128,501,655,948.86 ",32," $14,885,272,861 ",4,76%,20%,100,Semiconductors,15965
China,2023,Semiconductor,10.28%," $42,236,974,869 ",8032,377," $38,103,920,974.19 ",14," $24,330,259,093 ",4,78%,18%,66,Robots,946541
Japan,2002,Telecommunications,40.57%," $90,563,988,014 ",5568,847," $184,749,184,198.42 ",202," $28,503,240,206 ",14,52%,55%,129,5G Equipment,399352
Japan,2015,Biotechnology,24.85%," $33,666,977,739 ",9564,1367," $193,177,313,011.44 ",238," $27,555,040,336 ",11,51%,89%,84,Cloud Servers,189329
China,2019,AI,18.80%," $28,934,112,592 ",1340,1030," $1,458,226,642.49 ",459," $13,139,112,093 ",17,96%,15%,52,Semiconductors,612722
Japan,2001,Cloud Computing,16.91%," $23,431,786,387 ",1891,1270," $23,254,483,812.99 ",36," $15,948,593,503 ",15,99%,16%,2,Cloud Servers,804817
Japan,2004,Cloud Computing,20.22%," $85,566,266,865 ",4782,1502," $133,198,863,212.59 ",131," $29,482,098,282 ",11,94%,35%,40,Robots,771796
Japan,2003,Telecommunications,25.42%," $25,771,135,548 ",475,1085," $164,532,870,988.12 ",327," $35,027,582,725 ",11,97%,64%,125,Semiconductors,817957
Japan,2011,Robotics,33.45%," $24,527,159,679 ",7543,1726," $135,943,148,489.44 ",254," $5,609,060,244 ",12,75%,76%,169,Robots,279550
China,2014,Biotechnology,30.38%," $41,091,791,571 ",6418,63," $105,647,054,743.05 ",375," $40,258,153,722 ",10,97%,75%,61,5G Equipment,819678
Japan,2011,Cloud Computing,35.81%," $43,310,747,803 ",366,1484," $62,104,252,035.67 ",365," $32,190,738,856 ",8,74%,65%,175,5G Equipment,109296
China,2004,Semiconductor,36.95%," $56,315,362,311 ",8451,280," $147,870,946,433.17 ",35," $25,551,299,783 ",8,86%,75%,53,Robots,648351
China,2010,Semiconductor,26.90%," $13,034,039,853 ",6794,1752," $187,559,164,080.42 ",54," $26,826,661,678 ",15,77%,18%,141,Robots,590464
China,2002,Cloud Computing,33.03%," $54,294,694,446 ",6717,1274," $164,046,477,935.34 ",77," $31,103,190,218 ",5,58%,52%,131,AI Chips,376565
China,2016,Robotics,44.07%," $66,280,494,140 ",6097,1423," $89,096,773,757.33 ",343," $18,473,876,742 ",3,97%,37%,184,Semiconductors,508102
Japan,2012,Cloud Computing,40.84%," $52,951,986,368 ",3796,1990," $44,766,198,911.53 ",209," $25,217,218,104 ",14,90%,13%,54,AI Chips,76370
China,2002,Telecommunications,41.96%," $60,207,753,590 ",4407,247," $35,969,489,197.12 ",196," $14,106,730,498 ",5,73%,48%,80,AI Chips,665449
China,2002,Cloud Computing,46.51%," $31,519,126,813 ",1290,1478," $141,951,003,264.08 ",480," $28,132,208,186 ",3,71%,82%,89,Cloud Servers,216687
China,2020,Software,10.17%," $48,083,357,760 ",4477,1926," $102,053,934,566.99 ",114," $2,897,777,334 ",7,60%,45%,69,Robots,820242
China,2013,AI,38.69%," $90,341,599,088 ",7383,546," $58,486,626,390.18 ",286," $39,921,910,265 ",9,55%,31%,103,AI Chips,229929
China,2017,Telecommunications,33.01%," $37,349,097,464 ",7916,1202," $22,926,579,648.06 ",423," $3,521,363,587 ",19,75%,88%,136,Semiconductors,293165
Japan,2020,AI,22.35%," $16,196,175,556 ",3125,146," $143,864,411,526.66 ",477," $27,553,140,503 ",10,49%,86%,95,Cloud Servers,749523
Japan,2018,Semiconductor,9.49%," $29,829,554,582 ",7495,1161," $65,812,501,437.26 ",395," $25,773,690,405 ",1,67%,57%,29,Semiconductors,393223
China,2023,Semiconductor,37.55%," $91,254,529,847 ",7645,1620," $172,882,599,074.19 ",140," $45,833,935,225 ",16,65%,63%,68,Semiconductors,257355
Japan,2010,AI,31.94%," $36,868,830,247 ",2505,1413," $155,554,872,621.84 ",194," $10,186,780,081 ",16,49%,21%,115,5G Equipment,303944
Japan,2003,AI,44.49%," $72,446,278,919 ",5812,1568," $71,365,158,741.46 ",461," $13,578,747,914 ",6,48%,82%,162,Semiconductors,364084
Japan,2009,Robotics,5.03%," $92,406,973,013 ",2648,77," $177,379,508,886.38 ",113," $6,609,853,687 ",19,59%,58%,141,Semiconductors,215291
China,2023,Biotechnology,49.08%," $83,009,822,715 ",9801,1552," $167,756,442,034.93 ",127," $27,569,520,304 ",19,50%,28%,57,Semiconductors,94770
China,2021,Biotechnology,49.41%," $48,757,622,948 ",9832,709," $46,057,362,188.17 ",19," $376,364,052 ",17,79%,59%,95,Robots,883614
China,2015,AI,15.54%," $62,845,454,303 ",8959,311," $70,321,775,634.82 ",357," $26,100,485,153 ",5,73%,11%,43,5G Equipment,304765
Japan,2018,Cloud Computing,33.60%," $33,791,099,328 ",5440,1095," $103,425,966,041.24 ",101," $1,952,675,234 ",3,69%,77%,110,AI Chips,56829
China,2015,Robotics,44.33%," $25,374,810,640 ",6634,905," $102,487,796,697.73 ",295," $29,714,035,540 ",10,89%,47%,145,AI Chips,97273
China,2013,Semiconductor,34.77%," $38,628,161,410 ",1258,685," $199,139,680,475.24 ",43," $19,091,475,207 ",12,63%,37%,149,Cloud Servers,15409
China,2004,Robotics,11.15%," $51,848,589,720 ",469,1147," $5,808,515,236.54 ",413," $13,084,323,057 ",19,77%,16%,167,Robots,844168
Japan,2004,Biotechnology,44.58%," $61,906,297,156 ",4905,1549," $72,890,240,207.27 ",73," $30,176,577,738 ",3,95%,26%,4,AI Chips,458645
China,2004,Robotics,47.22%," $73,912,052,901 ",7744,1219," $62,833,120,539.78 ",498," $21,887,809,300 ",11,87%,84%,68,5G Equipment,226293
Japan,2009,Biotechnology,45.51%," $78,726,545,497 ",8428,1757," $189,170,690,350.15 ",431," $37,573,193,865 ",18,74%,21%,123,Semiconductors,815890
China,2020,Software,32.09%," $20,407,215,026 ",2709,1417," $33,287,416,444.91 ",258," $13,172,761,405 ",6,91%,35%,141,Semiconductors,639279
China,2003,Software,20.27%," $93,195,248,486 ",2169,203," $197,337,710,402.00 ",208," $37,676,656,848 ",2,50%,24%,56,Semiconductors,488923
China,2000,Cloud Computing,13.11%," $30,089,664,548 ",5660,317," $152,191,106,421.90 ",324," $34,471,831,281 ",11,96%,14%,26,Robots,453524
Japan,2007,Cloud Computing,34.07%," $67,137,216,693 ",2893,1960," $124,220,352,357.56 ",320," $43,332,295,474 ",9,84%,76%,71,Robots,39758
China,2004,Biotechnology,7.65%," $39,326,197,659 ",5850,983," $136,964,767,675.11 ",297," $10,384,228,060 ",10,63%,90%,61,AI Chips,838824
Japan,2013,Semiconductor,32.52%," $5,316,379,850 ",9819,623," $7,181,995,856.86 ",132," $6,324,338,916 ",18,43%,58%,53,Robots,647532
Japan,2009,Telecommunications,42.28%," $88,013,834,592 ",7055,874," $62,624,311,453.60 ",343," $47,746,283,954 ",16,54%,38%,190,5G Equipment,973204
China,2018,Software,28.39%," $83,752,347,106 ",2584,1662," $183,346,182,242.92 ",327," $20,879,860,004 ",8,57%,33%,196,5G Equipment,743167
Japan,2002,Semiconductor,17.41%," $49,323,899,950 ",7819,1170," $129,814,251,989.50 ",388," $35,259,758,029 ",5,82%,56%,13,Cloud Servers,331007
China,2020,AI,10.80%," $35,097,295,008 ",4587,1273," $183,722,022,601.72 ",123," $46,537,444,833 ",1,45%,52%,69,5G Equipment,609888
China,2022,Robotics,21.89%," $78,695,834,253 ",9130,238," $139,372,825,770.75 ",160," $42,989,532,119 ",16,80%,33%,165,Robots,167842
China,2021,Telecommunications,36.51%," $5,790,005,029 ",7311,674," $53,372,182,826.01 ",100," $11,947,259,843 ",16,60%,18%,74,Robots,798506
China,2012,Robotics,49.13%," $8,379,123,189 ",8884,602," $100,769,949,368.38 ",321," $44,164,380,209 ",9,60%,60%,154,Semiconductors,596274
China,2009,Telecommunications,28.25%," $8,560,261,183 ",7358,593," $5,898,336,957.16 ",246," $23,814,083,846 ",13,72%,12%,158,Cloud Servers,387123
China,2019,Semiconductor,38.12%," $56,422,572,151 ",3171,1720," $159,313,975,686.24 ",66," $22,535,254,163 ",19,84%,64%,98,AI Chips,212831
China,2008,Cloud Computing,36.16%," $40,643,323,151 ",9844,471," $165,539,661,881.68 ",493," $16,488,831,260 ",5,95%,77%,108,Semiconductors,749407
Japan,2008,Telecommunications,11.20%," $10,868,982,065 ",1624,81," $49,355,546,619.99 ",85," $42,792,842,422 ",7,94%,83%,141,Robots,536756
China,2022,Semiconductor,20.59%," $46,321,435,297 ",8713,971," $143,127,219,090.75 ",279," $45,848,084,489 ",6,75%,75%,109,Cloud Servers,628035
China,2015,Cloud Computing,35.39%," $11,929,854,322 ",3614,593," $72,610,829,415.17 ",255," $37,004,965,662 ",14,61%,73%,160,Robots,723900
China,2023,Semiconductor,45.92%," $36,480,941,959 ",1401,333," $181,313,918,151.34 ",110," $27,830,414,611 ",12,71%,16%,72,Cloud Servers,975156
Japan,2001,Telecommunications,28.50%," $95,114,057,911 ",2625,379," $11,408,313,048.27 ",442," $22,371,825,116 ",1,41%,49%,20,Cloud Servers,857522
Japan,2017,Robotics,14.59%," $52,368,517,482 ",8740,1783," $140,811,228,790.88 ",54," $41,178,952,487 ",3,87%,66%,175,Cloud Servers,207003
China,2015,Cloud Computing,6.52%," $30,230,122,240 ",4360,102," $124,300,096,771.33 ",269," $11,955,873,295 ",4,88%,73%,187,Semiconductors,860201
China,2021,Semiconductor,31.22%," $45,561,981,735 ",6408,881," $8,720,694,925.02 ",489," $31,093,279,746 ",9,41%,66%,70,5G Equipment,810275
China,2016,Telecommunications,27.73%," $68,231,440,824 ",2074,1378," $196,175,234,034.46 ",401," $36,454,805,243 ",8,75%,40%,53,Cloud Servers,352959
Japan,2016,Robotics,25.88%," $38,194,475,761 ",4883,1890," $31,014,835,734.07 ",113," $48,120,920,772 ",3,55%,18%,105,Cloud Servers,712303
China,2017,Biotechnology,9.93%," $3,720,317,431 ",3293,1570," $51,779,846,578.11 ",435," $5,365,876,326 ",5,51%,40%,82,AI Chips,229870
China,2006,Biotechnology,13.82%," $92,430,845,643 ",1562,669," $111,195,877,255.97 ",428," $34,967,389,665 ",16,76%,68%,125,AI Chips,633799
Japan,2006,Telecommunications,20.52%," $22,390,262,197 ",3158,1524," $77,989,420,245.85 ",222," $4,266,009,867 ",8,55%,23%,141,Semiconductors,437651
Japan,2015,Robotics,35.48%," $20,907,603,626 ",7641,501," $34,088,362,313.01 ",231," $41,613,035,292 ",4,79%,78%,85,AI Chips,308444
China,2022,Robotics,7.67%," $1,931,439,065 ",5354,1054," $49,104,593,540.94 ",281," $30,823,835,508 ",8,85%,32%,93,AI Chips,149005
Japan,2019,Biotechnology,39.41%," $84,913,352,463 ",6172,910," $169,310,367,050.81 ",265," $18,035,414,967 ",3,85%,18%,126,AI Chips,325960
China,2006,Cloud Computing,8.34%," $27,376,456,440 ",8796,381," $13,547,477,988.75 ",72," $16,582,302,826 ",7,44%,53%,118,Cloud Servers,852316
Japan,2021,Telecommunications,27.78%," $53,051,866,085 ",4211,1519," $64,324,051,148.58 ",251," $42,349,856,826 ",7,40%,22%,7,Cloud Servers,724197
